HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres
4,1,10,40,0,4.075542591,1,1.662911962
4,1,10,40,0,4.152006773,1,1.72486637
4,1,10,40,0,4.228906143,1,1.788139098
4,1,10,40,0,4.302099746,1,1.845244983
4,1,10,40,0,4.376877391,1,1.904127726
4,1,10,40,0,4.449410593,1,1.962541187
4,1,10,40,0,4.522097914,1,2.018857335
4,1,10,40,0,4.595428732,1,2.071654009
4,1,10,40,0,4.668033747,1,2.127861644
4,1,10,40,0,4.739584146,1,2.178635753
4,1,10,40,0,4.809587653,1,2.233492954
4,1,10,40,0,4.881531438,1,2.28340222
4,1,10,40,0,4.95120765,1,2.332455057
4,1,10,40,0,5.021340663,1,2.379732739
4,1,10,40,0,5.089209194,1,2.430622608
4,1,10,40,0,5.158574787,1,2.475123289
4,1,10,40,0,5.226182675,1,2.522975118
4,1,10,40,0,5.294275267,1,2.565753026
4,1,10,40,0,5.359640471,1,2.608968419
4,1,10,40,0,5.425936189,1,2.653999671
4,1,10,40,0,5.491976752,1,2.694693412
4,1,10,40,0,5.555443927,1,2.736440902
4,1,10,40,0,5.619701891,1,2.777969097
4,1,10,40,0,5.686355961,1,2.816387675
4,1,10,40,0,5.750565811,1,2.856549264
4,1,10,40,0,5.813225022,1,2.894873788
4,1,10,40,0,5.87702102,1,2.931634222
4,1,10,40,0,5.93744245,1,2.967813503
4,1,10,40,0,5.998026029,1,3.00229617
4,1,10,40,0,6.06018676,1,3.037646513
4,1,10,40,0,6.119851235,1,3.071123013
4,1,10,40,0,6.179717661,1,3.104296564
4,1,10,40,0,6.239443316,1,3.136480762
4,1,10,40,0,6.298751278,1,3.170356064
4,1,10,40,0,6.35754129,1,3.200093494
4,1,10,40,0,6.415799555,1,3.228748951
4,1,10,40,0,6.474238157,1,3.258815171
4,1,10,40,0,6.530246569,1,3.288896296
4,1,10,40,0,6.584370532,1,3.315348236
4,1,10,40,0,6.641468727,1,3.342570654
4,1,10,40,0,6.697290025,1,3.369862986
4,1,10,40,0,6.751135684,1,3.392916604
4,1,10,40,0,6.803924231,1,3.418027204
4,1,10,40,0,6.858154359,1,3.442182052
4,1,10,40,0,6.911022954,1,3.462081522
4,1,10,40,0,6.965863746,1,3.486002737
4,1,10,40,0,7.017793031,1,3.504532151
4,1,10,40,0,7.06912573,1,3.524526313
4,1,10,40,0,7.118604365,1,3.543596794
4,1,10,40,0,7.16998568,1,3.564259625
4,1,10,40,0,7.220082278,1,3.580330713
4,1,10,40,0,7.268251588,1,3.596466385
4,1,10,40,0,7.318120937,1,3.612633423
4,1,10,40,0,7.367571356,1,3.624884021
4,1,10,40,0,7.414373328,1,3.637442719
4,1,10,40,0,7.462860659,1,3.651028645
4,1,10,40,0,7.508528734,1,3.66281677
4,1,10,40,0,7.55456399,1,3.670795919
4,1,10,40,0,7.600386555,1,3.680116652
4,1,10,40,0,7.645639739,1,3.689246186
4,1,10,40,0,7.689013866,1,3.695125529
4,1,10,40,0,7.733527074,1,3.698971408
4,1,10,40,0,7.776838472,1,3.704279934
4,1,10,40,0,7.82095767,1,3.707068057
4,1,10,40,0,7.862064263,1,3.706719248
4,1,10,40,0,7.90495593,1,3.707658036
4,1,10,40,0,7.948415574,1,3.707038158
4,1,10,40,0,7.989210706,1,3.702223142
4,1,10,40,0,8.027907904,1,3.698333963
4,1,10,40,0,8.068160272,1,3.694929485
4,1,10,40,0,8.108056286,1,3.688289504
4,1,10,40,0,8.145491556,1,3.680275265
4,1,10,40,0,8.186071358,1,3.667968785
4,1,10,40,0,8.221897737,1,3.656012629
4,1,10,40,0,8.260950794,1,3.641974691
4,1,10,40,0,8.295601754,1,3.628153622
4,1,10,40,0,8.331946347,1,3.61024854
4,1,10,40,0,8.367542323,1,3.592537345
4,1,10,40,0,8.404273343,1,3.572104075
4,1,10,40,0,8.436991584,1,3.548603319
4,1,10,40,0,8.4720889,1,3.524529156
4,1,10,40,0,8.505955756,1,3.499870309
4,1,10,40,0,8.539353943,1,3.471248749
4,1,10,40,0,8.571276167,1,3.437988327
4,1,10,40,0,8.602693953,1,3.406129789
4,1,10,40,0,8.63362869,1,3.369860429
4,1,10,40,0,8.665871474,1,3.332979494
4,1,10,40,0,8.697440707,1,3.294912272
4,1,10,40,0,8.724024636,1,3.251069601
4,1,10,40,0,8.755232066,1,3.20817377
